BAM31263.1	OTHER	0.007835	0.008460	0.008048	0.975657	
BAM31269.1	OTHER	0.018831	0.000978	0.030106	0.950085	
BAM31272.1	OTHER	0.004140	0.000767	0.000466	0.994626	
BAM31282.1	OTHER	0.009737	0.002180	0.002953	0.985130	
BAM31290.1	OTHER	0.010638	0.015094	0.021956	0.952312	
BAM31291.1	OTHER	0.038632	0.007002	0.009720	0.944646	
BAM31298.1	OTHER	0.002713	0.001646	0.000721	0.994920	
BAM31299.1	OTHER	0.004034	0.000714	0.000666	0.994587	
BAM31305.1	OTHER	0.004189	0.000094	0.004994	0.990723	
BAM31312.1	SP(Sec/SPI)	0.903813	0.000402	0.045156	0.050629	CS pos: 18-19. INA-KE. Pr: 0.9063
BAM31326.1	OTHER	0.014340	0.000661	0.009235	0.975764	
BAM31339.1	SP(Sec/SPI)	0.997004	0.000095	0.002484	0.000417	CS pos: 19-20. AQA-DE. Pr: 0.9903
BAM31345.1	SP(Sec/SPI)	0.588611	0.002307	0.003174	0.405908	CS pos: 27-28. AHA-TF. Pr: 0.5387
BAM31350.1	OTHER	0.042368	0.000438	0.010082	0.947112	
BAM31351.1	LIPO(Sec/SPII)	0.242982	0.000071	0.755520	0.001426	CS pos: 14-15. VSA-CV. Pr: 0.7080
BAM31352.1	OTHER	0.103254	0.000846	0.002367	0.893533	
BAM31355.1	OTHER	0.056228	0.001134	0.025255	0.917384	
BAM31386.1	OTHER	0.012909	0.001205	0.002007	0.983879	
BAM31389.1	LIPO(Sec/SPII)	0.003017	0.000070	0.996642	0.000272	CS pos: 19-20. LNG-CF. Pr: 0.9980
BAM31390.1	OTHER	0.011305	0.008822	0.002028	0.977845	
BAM31392.1	OTHER	0.013144	0.000450	0.008079	0.978327	
BAM31400.1	OTHER	0.014166	0.000307	0.003429	0.982099	
BAM31408.1	OTHER	0.002594	0.000483	0.000308	0.996615	
BAM31410.1	OTHER	0.013895	0.002131	0.000649	0.983325	
BAM31421.1	OTHER	0.002181	0.000674	0.000136	0.997009	
BAM31423.1	LIPO(Sec/SPII)	0.000864	0.000058	0.998852	0.000226	CS pos: 20-21. MVG-CG. Pr: 0.9995
BAM31430.1	OTHER	0.000476	0.000194	0.000898	0.998433	
BAM31438.1	OTHER	0.025510	0.004918	0.010919	0.958653	
BAM31456.1	OTHER	0.016807	0.003858	0.002688	0.976647	
BAM31457.1	OTHER	0.001644	0.000411	0.000193	0.997753	
BAM31485.1	OTHER	0.005290	0.001284	0.001399	0.992027	
BAM31486.1	OTHER	0.003426	0.001419	0.000679	0.994476	
BAM31488.1	OTHER	0.006880	0.000458	0.001054	0.991608	
BAM31489.1	OTHER	0.017932	0.013368	0.006552	0.962148	
BAM31490.1	OTHER	0.047750	0.011743	0.005895	0.934612	
BAM31504.1	OTHER	0.005728	0.000295	0.000598	0.993379	
BAM31514.1	OTHER	0.012694	0.002559	0.004272	0.980475	
BAM31515.1	OTHER	0.000363	0.000139	0.000725	0.998773	
BAM31516.1	OTHER	0.010493	0.000303	0.009771	0.979434	
BAM31519.1	OTHER	0.003008	0.001374	0.000459	0.995159	
BAM31529.1	OTHER	0.002261	0.001418	0.000240	0.996081	
BAM31536.1	OTHER	0.009997	0.008038	0.003290	0.978675	
